Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
jmeter-1_7_3,org.apache.jmeter.assertions,DurationAssertion,1,0,3,3,47,6,0,1,0.0,1,3
jmeter-1_7_3,org.apache.jmeter.assertions,ResponseAssertion,12,8,21,20,184,30,0,1,0.0,5,2
jmeter-1_7_3,org.apache.jmeter.assertions,Assertion,0,0,1,1,12,1,2,0,-1.0,3,1
jmeter-1_7_3,org.apache.jmeter.assertions,AssertionResult,3,0,7,7,30,7,0,0,0.5714285714285714,5,0
jmeter-1_7_3,org.apache.jmeter.assertions.gui,AssertionGui,10,0,13,9,268,26,0,1,0.3076923076923077,0,5
jmeter-1_7_3,org.apache.jmeter.assertions.gui,ClearPatternsListener,0,0,1,1,23,3,0,0,-1.0,0,0
jmeter-1_7_3,org.apache.jmeter.assertions.gui,AddPatternListener,0,0,1,1,17,1,0,0,-1.0,0,0
jmeter-1_7_3,org.apache.jmeter.assertions.gui,PatternRenderer,0,0,1,1,38,4,0,0,-1.0,0,0
jmeter-1_7_3,org.apache.jmeter.assertions.gui,DurationAssertionGui,1,0,8,7,82,8,0,1,0.375,0,4
jmeter-1_7_3,org.apache.jmeter.assertions.gui,AbstractAssertionGui,0,0,2,2,13,2,2,0,-1.0,0,1
jmeter-1_7_3,org.apache.jmeter.config,Argument,3,0,10,10,88,11,0,0,0.3,12,1
jmeter-1_7_3,org.apache.jmeter.config,Arguments,2,1,16,16,140,25,0,0,0.0,21,1
jmeter-1_7_3,org.apache.jmeter.config,LoginConfig,0,0,5,5,41,5,0,0,-1.0,0,1
jmeter-1_7_3,org.apache.jmeter.config,ConfigElement,0,0,3,1,19,3,0,0,-1.0,7,1
jmeter-1_7_3,org.apache.jmeter.config,ConfigTestElement,2,2,2,2,24,3,0,0,1.0,10,1
jmeter-1_7_3,org.apache.jmeter.config,ExtensionsFileFilter,2,0,7,6,75,10,0,0,0.42857142857142855,0,0
jmeter-1_7_3,org.apache.jmeter.config,Modifier,0,0,1,1,3,1,0,0,-1.0,0,1
jmeter-1_7_3,org.apache.jmeter.config,ResponseBasedModifier,0,0,1,1,3,1,0,0,-1.0,0,0
jmeter-1_7_3,org.apache.jmeter.config.gui,ArgumentsPanel,8,0,22,14,212,33,0,1,0.4090909090909091,5,9
jmeter-1_7_3,org.apache.jmeter.config.gui,Test,0,0,2,2,12,2,0,0,-1.0,0,1
jmeter-1_7_3,org.apache.jmeter.config.gui,LoginConfigGui,3,0,8,5,60,9,0,1,0.375,2,4
jmeter-1_7_3,org.apache.jmeter.config.gui,AbstractConfigGui,0,0,2,2,22,2,2,0,-1.0,0,1
jmeter-1_7_3,org.apache.jmeter.config.gui,AbstractModifierGui,0,0,2,2,13,2,0,0,-1.0,0,1
