Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
jmeter-1_9_1,org.apache.jmeter.assertions,DurationAssertion,getResult,11,2,1
jmeter-1_9_1,org.apache.jmeter.assertions,DurationAssertion,getAllowedDuration,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,DurationAssertion,setAllowedDuration,11,3,1
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,initialValue,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,ResponseAssertion,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,ResponseAssertion,6,1,3
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,clear,4,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,setTestField,3,1,1
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,setTestType,15,3,1
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,addTestString,3,1,1
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,setTestString,3,1,2
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,removeTestString,3,1,1
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,removeTestString,3,1,1
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,clearTestStrings,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,getResult,11,2,1
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,getTestField,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,getTestType,9,2,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,getTestStrings,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,isContainsType,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,isMatchType,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,isNotType,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,setToContainsType,4,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,setToMatchType,4,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,setToNotType,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,unsetNotType,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,evaluateResponse,40,6,1
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,setResultForNull,6,1,1
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,Test,3,1,1
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,testThreadSafety,15,4,0
jmeter-1_9_1,org.apache.jmeter.assertions,ResponseAssertion,run,16,3,0
jmeter-1_9_1,org.apache.jmeter.assertions,Test,Test,3,1,1
jmeter-1_9_1,org.apache.jmeter.assertions,Test,testThreadSafety,15,4,0
jmeter-1_9_1,org.apache.jmeter.assertions,Test,run,16,3,0
jmeter-1_9_1,org.apache.jmeter.assertions,TestThread,run,16,3,0
jmeter-1_9_1,org.apache.jmeter.assertions,SizeAssertion,getResult,16,3,1
jmeter-1_9_1,org.apache.jmeter.assertions,SizeAssertion,getAllowedSize,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,SizeAssertion,setCompOper,3,1,1
jmeter-1_9_1,org.apache.jmeter.assertions,SizeAssertion,setResultForNull,6,1,1
jmeter-1_9_1,org.apache.jmeter.assertions,SizeAssertion,getCompOper,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,SizeAssertion,setAllowedSize,11,3,1
jmeter-1_9_1,org.apache.jmeter.assertions,SizeAssertion,getResultBody,8,3,1
jmeter-1_9_1,org.apache.jmeter.assertions,SizeAssertion,getByteArraySlice,9,2,3
jmeter-1_9_1,org.apache.jmeter.assertions,SizeAssertion,compareSize,31,7,1
jmeter-1_9_1,org.apache.jmeter.assertions,XMLAssertion,getResult,28,3,1
jmeter-1_9_1,org.apache.jmeter.assertions,XMLAssertion,setResultForNull,6,1,1
jmeter-1_9_1,org.apache.jmeter.assertions,XMLAssertion,getResultBody,8,3,1
jmeter-1_9_1,org.apache.jmeter.assertions,XMLAssertion,getByteArraySlice,9,2,3
jmeter-1_9_1,org.apache.jmeter.assertions,Assertion,getResult,0,1,1
jmeter-1_9_1,org.apache.jmeter.assertions,AssertionResult,AssertionResult,2,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,AssertionResult,isFailure,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,AssertionResult,isError,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,AssertionResult,getFailureMessage,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions,AssertionResult,setError,3,1,1
jmeter-1_9_1,org.apache.jmeter.assertions,AssertionResult,setFailure,3,1,1
jmeter-1_9_1,org.apache.jmeter.assertions,AssertionResult,setFailureMessage,3,1,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AssertionGui,AssertionGui,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AssertionGui,getStaticLabel,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AssertionGui,createTestElement,5,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AssertionGui,modifyTestElement,29,6,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AssertionGui,configure,38,6,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AssertionGui,init,10,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AssertionGui,createFieldPanel,13,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AssertionGui,createTypePanel,15,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AssertionGui,createStringPanel,15,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AssertionGui,createButtonPanel,11,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AssertionGui,actionPerformed,11,3,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AssertionGui,actionPerformed,5,1,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,ClearPatternsListener,actionPerformed,11,3,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AddPatternListener,actionPerformed,5,1,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,DurationAssertionGui,DurationAssertionGui,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,DurationAssertionGui,getStaticLabel,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,DurationAssertionGui,getDurationAttributesTitle,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,DurationAssertionGui,createTestElement,5,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,DurationAssertionGui,modifyTestElement,12,1,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,DurationAssertionGui,configure,5,1,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,DurationAssertionGui,init,14,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,DurationAssertionGui,focusLost,19,4,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,DurationAssertionGui,focusGained,2,1,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,SizeAssertionGui,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,getStaticLabel,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,getSizeAttributesTitle,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,createTestElement,5,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,modifyTestElement,13,1,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,configure,6,1,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,setState,26,7,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,getState,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,init,13,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,createComparatorButtonPanel,20,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,createComparatorButton,7,1,3
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,focusLost,19,4,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,focusGained,2,1,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,SizeAssertionGui,actionPerformed,4,1,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,XMLAssertionGui,XMLAssertionGui,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,XMLAssertionGui,getStaticLabel,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,XMLAssertionGui,createTestElement,5,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,XMLAssertionGui,modifyTestElement,3,1,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,XMLAssertionGui,configure,3,1,1
jmeter-1_9_1,org.apache.jmeter.assertions.gui,XMLAssertionGui,init,5,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AbstractAssertionGui,createPopupMenu,3,1,0
jmeter-1_9_1,org.apache.jmeter.assertions.gui,AbstractAssertionGui,getMenuCategories,3,1,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,InterleaveControl,2,1,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,reInitialize,8,1,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,setStyle,3,1,1
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,getStyle,3,1,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,next,7,2,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,nextIsAController,18,3,1
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,nextIsASampler,5,1,1
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,nextIsNull,4,1,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,setCurrentElement,9,3,1
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,currentReturnedNull,8,3,1
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,isSkipNext,3,1,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,setSkipNext,3,1,1
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,Test,3,1,1
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,testProcessing,37,4,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,testProcessing6,22,3,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,testProcessing2,30,3,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,testProcessing3,30,3,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,testProcessing4,26,3,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,testProcessing5,26,3,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,main,3,1,1
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,suite,9,1,0
jmeter-1_9_1,org.apache.jmeter.control,InterleaveControl,incrementCurrent,7,2,0
jmeter-1_9_1,org.apache.jmeter.control,Test,Test,3,1,1
jmeter-1_9_1,org.apache.jmeter.control,Test,testProcessing,37,4,0
jmeter-1_9_1,org.apache.jmeter.control,Test,testProcessing6,22,3,0
jmeter-1_9_1,org.apache.jmeter.control,Test,testProcessing2,30,3,0
jmeter-1_9_1,org.apache.jmeter.control,Test,testProcessing3,30,3,0
jmeter-1_9_1,org.apache.jmeter.control,Test,testProcessing4,26,3,0
jmeter-1_9_1,org.apache.jmeter.control,Test,testProcessing5,26,3,0
jmeter-1_9_1,org.apache.jmeter.control,ModuleController,ModuleController,3,1,0
jmeter-1_9_1,org.apache.jmeter.control,ModuleController,clone,8,2,0
jmeter-1_9_1,org.apache.jmeter.control,ModuleController,getReplacement,8,2,0
jmeter-1_9_1,org.apache.jmeter.control,ModuleController,setSelectedNode,4,1,1
jmeter-1_9_1,org.apache.jmeter.control,ModuleController,getSelectedNode,3,1,0
jmeter-1_9_1,org.apache.jmeter.control,ModuleController,setNodePath,11,3,0
jmeter-1_9_1,org.apache.jmeter.control,ModuleController,getNodePath,9,2,0
jmeter-1_9_1,org.apache.jmeter.control,ModuleController,restoreSelected,13,4,0
jmeter-1_9_1,org.apache.jmeter.control,ModuleController,traverse,12,4,2
jmeter-1_9_1,org.apache.jmeter.control,ModuleController,replace,7,2,1
jmeter-1_9_1,org.apache.jmeter.control,ModuleController,createSubTree,8,2,2
jmeter-1_9_1,org.apache.jmeter.control,ModuleController,cloneTreeNode,6,1,1
jmeter-1_9_1,org.apache.jmeter.control,ModuleController,cloneChildren,3,1,2
jmeter-1_9_1,org.apache.jmeter.control,OnceOnlyController,OnceOnlyController,2,1,0
jmeter-1_9_1,org.apache.jmeter.control,OnceOnlyController,iterationStart,5,2,1
jmeter-1_9_1,org.apache.jmeter.control,OnceOnlyController,nextIsNull,3,1,0
jmeter-1_9_1,org.apache.jmeter.control,OnceOnlyController,Test,3,1,1
jmeter-1_9_1,org.apache.jmeter.control,OnceOnlyController,testProcessing,38,5,0
jmeter-1_9_1,org.apache.jmeter.control,OnceOnlyController,testProcessing2,39,5,0
jmeter-1_9_1,org.apache.jmeter.control,OnceOnlyController,main,3,1,1
jmeter-1_9_1,org.apache.jmeter.control,OnceOnlyController,suite,6,1,0
jmeter-1_9_1,org.apache.jmeter.control,Test,Test,3,1,1
jmeter-1_9_1,org.apache.jmeter.control,Test,testProcessing,38,5,0
jmeter-1_9_1,org.apache.jmeter.control,Test,testProcessing2,39,5,0
jmeter-1_9_1,org.apache.jmeter.control,RandomController,RandomController,2,1,0
