Project Name,Package Name,Type Name,Method Name,Code Smell
jmeter-2_3_2,org.apache.jmeter.assertions,HTMLAssertion,getResult,Complex Conditional
jmeter-2_3_2,org.apache.jmeter.assertions,HTMLAssertion,getResult,Complex Method
jmeter-2_3_2,org.apache.jmeter.assertions,HTMLAssertion,getResult,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,HTMLAssertion,getResult,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,HTMLAssertion,setXML,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions,HTMLAssertion,isXML,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions,ResponseAssertion,evaluateResponse,Complex Method
jmeter-2_3_2,org.apache.jmeter.assertions,ResponseAssertion,getFailText,Complex Method
jmeter-2_3_2,org.apache.jmeter.assertions,ResponseAssertion,getFailText,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions,ResponseAssertion,getFailText,Missing default
jmeter-2_3_2,org.apache.jmeter.assertions,ResponseAssertion,equalsComparisonText,Complex Method
jmeter-2_3_2,org.apache.jmeter.assertions,ResponseAssertion,equalsComparisonText,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,ResponseAssertion,equalsComparisonText,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions,SizeAssertion,compareSize,Missing default
jmeter-2_3_2,org.apache.jmeter.assertions,XMLAssertion,getResultBody,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions,XMLSchemaAssertion,getResultBody,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions,XMLSchemaAssertion,errorDetails,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions,XPathAssertion,getResult,Complex Method
jmeter-2_3_2,org.apache.jmeter.assertions,XPathAssertion,getResult,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,XPathAssertion,getResult,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,XPathAssertion,getResult,Missing default
jmeter-2_3_2,org.apache.jmeter.assertions,PackageTest,testMD5,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,PackageTest,testThreadSafety,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions,PackageTest,run,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions,PackageTest,setUp,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,PackageTest,testValidationSuccess,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,PackageTest,testValidationFailureWithDTD,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,PackageTest,testTolerance,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,PackageTest,testNoTolerance,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,TestThread,run,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions,XPathAssertionTest,setUp,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,XPathAssertionTest,testValidationSuccess,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,XPathAssertionTest,testValidationFailureWithDTD,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,XPathAssertionTest,testTolerance,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,XPathAssertionTest,testNoTolerance,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions,XMLSchemaAssertionTest,readBA,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions,XMLSchemaAssertionTest,readBA,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions,XPathAssertionTest,readBA,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions,XPathAssertionTest,readBA,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,AssertionGui,modifyTestElement,Complex Method
jmeter-2_3_2,org.apache.jmeter.assertions.gui,AssertionGui,configure,Complex Method
jmeter-2_3_2,org.apache.jmeter.assertions.gui,AssertionGui,createStringPanel,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,AssertionGui,createStringPanel,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,BeanShellAssertionGui,createFilenamePanel,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,BeanShellAssertionGui,createFilenamePanel,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,BeanShellAssertionGui,createParameterPanel,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,BeanShellAssertionGui,createParameterPanel,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,BeanShellAssertionGui,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,BeanShellAssertionGui,createScriptPanel,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,DurationAssertionGui,init,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions.gui,DurationAssertionGui,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,DurationAssertionGui,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,HTMLAssertionGui,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,HTMLAssertionGui,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,HTMLAssertionGui,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,MD5HexAssertionGUI,init,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions.gui,MD5HexAssertionGUI,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,MD5HexAssertionGUI,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,SizeAssertionGui,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,SizeAssertionGui,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,SizeAssertionGui,focusLost,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions.gui,XMLAssertionGui,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,XMLSchemaAssertionGUI,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,XMLSchemaAssertionGUI,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,XPathAssertionGui,init,Long Statement
jmeter-2_3_2,org.apache.jmeter.assertions.gui,XPathAssertionGui,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,XPathAssertionGui,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,XPathAssertionGui,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,XPathAssertionGui,init,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,XPathPanel,getXPathTextField,Magic Number
jmeter-2_3_2,org.apache.jmeter.assertions.gui,XPathPanel,validXPath,Long Statement
jmeter-2_3_2,org.apache.jmeter.config,CSVDataSet,iterationStart,Complex Method
jmeter-2_3_2,org.apache.jmeter.config,CSVDataSet,iterationStart,Long Statement
jmeter-2_3_2,org.apache.jmeter.config,CSVDataSet,iterationStart,Missing default
jmeter-2_3_2,org.apache.jmeter.config,CSVDataSetBeanInfo,CSVDataSetBeanInfo,Long Statement
jmeter-2_3_2,org.apache.jmeter.control,ThroughputController,ThroughputController,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,ThroughputController,getMaxThroughputAsInt,Empty catch clause
jmeter-2_3_2,org.apache.jmeter.control,ThroughputController,getPercentThroughputAsFloat,Empty catch clause
jmeter-2_3_2,org.apache.jmeter.control,ThroughputController,getPercentThroughputAsFloat,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,ThroughputController,decide,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,ThroughputController,decide,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,ThroughputController,isDone,Complex Conditional
jmeter-2_3_2,org.apache.jmeter.control,ThroughputController,isDone,Long Statement
jmeter-2_3_2,org.apache.jmeter.control,RunTime,endOfLoop,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TransactionController,next2,Long Statement
jmeter-2_3_2,org.apache.jmeter.control,TransactionSampler,setTransactionDone,Long Statement
jmeter-2_3_2,org.apache.jmeter.control,WhileController,endOfLoop,Complex Conditional
jmeter-2_3_2,org.apache.jmeter.control,TestGenericController,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestGenericController,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestGenericController,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestInterleaveControl,testProcessing,Long Statement
jmeter-2_3_2,org.apache.jmeter.control,TestInterleaveControl,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestInterleaveControl,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestInterleaveControl,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestInterleaveControl,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestInterleaveControl,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestInterleaveControl,testProcessing6,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestInterleaveControl,testProcessing6,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestInterleaveControl,testProcessing2,Long Statement
jmeter-2_3_2,org.apache.jmeter.control,TestInterleaveControl,testProcessing2,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestInterleaveControl,testProcessing3,Long Statement
jmeter-2_3_2,org.apache.jmeter.control,TestInterleaveControl,testProcessing3,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestLoopController,testProcessing,Long Statement
jmeter-2_3_2,org.apache.jmeter.control,TestLoopController,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestLoopController,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestLoopController,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestLoopController,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestLoopController,testInfiniteLoop,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestOnceOnlyController,testProcessing,Long Statement
jmeter-2_3_2,org.apache.jmeter.control,TestOnceOnlyController,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestOnceOnlyController,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestOnceOnlyController,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestOnceOnlyController,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestOnceOnlyController,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestOnceOnlyController,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestOnceOnlyController,testProcessing2,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestOnceOnlyController,testProcessing2,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestOnceOnlyController,testProcessing2,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestOnceOnlyController,testProcessing2,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestOnceOnlyController,testProcessing2,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestOnceOnlyController,testProcessing2,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestRandomOrderController,testRandomOrder,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestRunTime,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestRunTime,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestRunTime,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestRunTime,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestRunTime,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestRunTime,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestRunTime,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestRunTime,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestRunTime,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestRunTime,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestRunTime,testProcessing,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestSwitchController,runSimpleTest,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestSwitchController,runSimpleTest2,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestSwitchController,runTest2,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestSwitchController,runTest2,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestSwitchController,testFunction,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestSwitchController,testFunction,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByNumber,Long Statement
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByNumber,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByNumber,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByNumber,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByNumberZero,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByNumberZero,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByPercent33,Long Statement
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByPercent33,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByPercent33,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByPercent33,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByPercentZero,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByPercentZero,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByPercentZero,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByPercent100,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByPercent100,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByPercent100,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestThroughputController,testByPercent100,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestWhileController,testVariable1,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestWhileController,testVariable1,Magic Number
jmeter-2_3_2,org.apache.jmeter.control,TestWhileController,testVariable1,Magic Number
