Project Name,Package Name,Type Name,Method Name,Code Smell
jmeter-2_5,org.apache.jmeter.assertions,CompareAssertion,compareTime,Long Statement
jmeter-2_5,org.apache.jmeter.assertions,CompareAssertion,filterString,Long Statement
jmeter-2_5,org.apache.jmeter.assertions,CompareAssertionBeanInfo,CompareAssertionBeanInfo,Long Statement
jmeter-2_5,org.apache.jmeter.assertions,HTMLAssertion,getResult,Complex Conditional
jmeter-2_5,org.apache.jmeter.assertions,HTMLAssertion,getResult,Complex Method
jmeter-2_5,org.apache.jmeter.assertions,HTMLAssertion,getResult,Long Statement
jmeter-2_5,org.apache.jmeter.assertions,HTMLAssertion,getResult,Long Statement
jmeter-2_5,org.apache.jmeter.assertions,HTMLAssertion,setXML,Magic Number
jmeter-2_5,org.apache.jmeter.assertions,HTMLAssertion,isXML,Magic Number
jmeter-2_5,org.apache.jmeter.assertions,ResponseAssertion,evaluateResponse,Complex Method
jmeter-2_5,org.apache.jmeter.assertions,ResponseAssertion,getFailText,Complex Method
jmeter-2_5,org.apache.jmeter.assertions,ResponseAssertion,getFailText,Magic Number
jmeter-2_5,org.apache.jmeter.assertions,ResponseAssertion,getFailText,Missing default
jmeter-2_5,org.apache.jmeter.assertions,ResponseAssertion,equalsComparisonText,Complex Method
jmeter-2_5,org.apache.jmeter.assertions,ResponseAssertion,equalsComparisonText,Long Statement
jmeter-2_5,org.apache.jmeter.assertions,ResponseAssertion,equalsComparisonText,Magic Number
jmeter-2_5,org.apache.jmeter.assertions,SMIMEAssertion,getResult,Complex Method
jmeter-2_5,org.apache.jmeter.assertions,SMIMEAssertion,verifySignature,Complex Method
jmeter-2_5,org.apache.jmeter.assertions,SMIMEAssertion,verifySignature,Long Statement
jmeter-2_5,org.apache.jmeter.assertions,SMIMEAssertion,verifySignature,Long Statement
jmeter-2_5,org.apache.jmeter.assertions,SMIMEAssertion,readSerialNumber,Magic Number
jmeter-2_5,org.apache.jmeter.assertions,SMIMEAssertion,readSerialNumber,Magic Number
jmeter-2_5,org.apache.jmeter.assertions,SizeAssertion,compareSize,Missing default
jmeter-2_5,org.apache.jmeter.assertions,XMLAssertion,getResultBody,Magic Number
