Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
jmeter-5.2-rc1,org.apache.jmeter.util,BeanShellClient,2,0,4,3,66,8,0,0,0.0,1,2
jmeter-5.2-rc1,org.apache.jmeter.util,SockRead,1,0,2,2,22,3,0,0,0.0,1,0
jmeter-5.2-rc1,org.apache.jmeter.util,BSFBeanInfoSupport,1,0,1,0,18,1,0,1,0.0,0,0
jmeter-5.2-rc1,org.apache.jmeter.util,BSFJavaScriptEngine,1,0,6,5,139,19,0,0,0.0,0,0
jmeter-5.2-rc1,org.apache.jmeter.util,BSFTestElement,2,0,7,3,83,11,0,1,0.5714285714285714,0,7
jmeter-5.2-rc1,org.apache.jmeter.util,BeanShellBeanInfoSupport,0,0,1,0,29,1,0,0,-1.0,0,0
jmeter-5.2-rc1,org.apache.jmeter.util,BeanShellInterpreter,10,0,12,10,147,20,0,0,0.16666666666666666,11,1
jmeter-5.2-rc1,org.apache.jmeter.util,BeanShellServer,3,0,4,2,61,7,0,0,0.75,2,1
jmeter-5.2-rc1,org.apache.jmeter.util,BeanShellTestElement,8,0,23,16,157,29,0,0,0.0,1,7
jmeter-5.2-rc1,org.apache.jmeter.util,CPSPauser,4,0,2,2,35,4,0,0,0.0,2,0
jmeter-5.2-rc1,org.apache.jmeter.util,Calculator,13,0,23,20,182,28,0,0,0.13043478260869565,3,1
jmeter-5.2-rc1,org.apache.jmeter.util,ColorHelper,0,0,2,1,36,5,0,0,-1.0,0,0
jmeter-5.2-rc1,org.apache.jmeter.util,CustomX509TrustManager,2,0,4,4,42,9,0,0,0.5,0,0
jmeter-5.2-rc1,org.apache.jmeter.util,Document,2,0,1,1,47,3,0,0,0.0,5,1
jmeter-5.2-rc1,org.apache.jmeter.util,HttpSSLProtocolSocketFactory,6,0,14,10,133,22,0,0,0.14285714285714285,0,1
jmeter-5.2-rc1,org.apache.jmeter.util,JMeterTreeNodeTransferable,3,1,4,4,59,8,0,0,0.5,1,1
jmeter-5.2-rc1,org.apache.jmeter.util,JMeterUtils,18,3,77,69,981,133,0,0,0.2857142857142857,329,9
jmeter-5.2-rc1,org.apache.jmeter.util,LazyPatternCacheHolder,1,1,1,0,6,1,0,0,0.0,1,0
jmeter-5.2-rc1,org.apache.jmeter.util,DummyResourceBundle,0,0,2,1,11,2,0,0,-1.0,0,0
jmeter-5.2-rc1,org.apache.jmeter.util,JSR223BeanInfoSupport,4,1,3,1,49,3,0,1,0.6666666666666666,0,0
jmeter-5.2-rc1,org.apache.jmeter.util,JSR223TestElement,6,1,17,11,249,33,0,1,0.35294117647058826,5,10
jmeter-5.2-rc1,org.apache.jmeter.util,LazyHolder,1,1,1,0,9,1,0,0,0.0,1,0
jmeter-5.2-rc1,org.apache.jmeter.util,JsseSSLManager,10,1,13,11,244,36,0,1,0.0,2,1
jmeter-5.2-rc1,org.apache.jmeter.util,WrappedX509KeyManager,2,0,7,7,85,9,0,0,0.0,0,1
jmeter-5.2-rc1,org.apache.jmeter.util,LocaleChangeEvent,2,0,3,3,16,3,0,0,0.6666666666666666,7,0
jmeter-5.2-rc1,org.apache.jmeter.util,LocaleChangeListener,0,0,1,0,3,1,0,0,-1.0,1,1
jmeter-5.2-rc1,org.apache.jmeter.util,NameUpdater,3,0,6,5,131,10,0,0,0.3333333333333333,5,1
jmeter-5.2-rc1,org.apache.jmeter.util,NamedObject,0,0,1,0,3,1,0,0,-1.0,0,0
jmeter-5.2-rc1,org.apache.jmeter.util,PropertiesBasedPrefixResolver,3,0,2,2,60,3,0,0,1.0,0,0
jmeter-5.2-rc1,org.apache.jmeter.util,PropertiesBasedPrefixResolverForXpath2,1,0,2,2,34,5,0,0,0.0,0,0
jmeter-5.2-rc1,org.apache.jmeter.util,SSLManager,15,1,11,6,202,25,1,0,0.5454545454545454,7,4
jmeter-5.2-rc1,org.apache.jmeter.util,ScopePanel,6,0,21,20,132,31,0,0,0.19047619047619047,1,1
jmeter-5.2-rc1,org.apache.jmeter.util,ScriptingBeanInfoSupport,4,0,13,11,114,19,2,0,0.46153846153846156,1,1
jmeter-5.2-rc1,org.apache.jmeter.util,JSR223ScriptCacheCheckboxEditor,2,0,11,10,64,14,0,0,0.18181818181818182,2,1
jmeter-5.2-rc1,org.apache.jmeter.util,ScriptingTestElement,6,1,8,7,47,8,2,0,0.625,1,0
jmeter-5.2-rc1,org.apache.jmeter.util,SlowInputStream,1,0,3,3,23,3,0,0,0.0,0,1
jmeter-5.2-rc1,org.apache.jmeter.util,SlowOutputStream,1,0,3,3,23,3,0,0,0.0,0,1
