Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
openj9-openj9-0.13.0,com.ibm.cds,CDSBundleEntry,3,0,8,8,44,9,0,0,0.0,0,0
openj9-openj9-0.13.0,com.ibm.cds,CDSBundleFile,3,0,8,3,75,11,0,0,0.0,1,1
openj9-openj9-0.13.0,com.ibm.cds,CDSHookConfigurator,1,1,1,1,18,2,0,0,0.0,0,3
openj9-openj9-0.13.0,com.ibm.cds,CDSHookImpls,3,0,7,4,138,31,0,0,0.0,2,4
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob,CTypeParser,8,0,5,4,77,15,0,0,0.0,2,0
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob,ExtractCPPFlags,0,0,1,1,21,4,0,0,-1.0,0,1
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob,GenerateBlobC,20,12,25,6,417,80,0,0,0.16,2,9
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob,FileTypes,6,6,4,2,49,10,0,0,0.5,1,3
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob,HeaderResolver,1,0,2,2,15,4,0,0,0.0,0,0
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob,GenerateBlobCConfig,6,6,1,1,16,1,0,0,0.0,2,2
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob,GenerateInputCFile,1,0,5,1,56,8,0,0,0.4,1,3
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob,GenerateSpecSuperset,5,0,5,2,102,19,0,0,0.4,1,2
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob,GetNativeDirectory,0,0,4,4,40,10,0,0,-1.0,1,2
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob,SortHeadersInConfig,1,1,2,2,38,5,0,0,1.0,0,3
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob,StripGarbage,10,0,6,4,134,17,0,0,0.0,1,2
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob,Region,2,0,3,3,14,3,0,0,0.0,0,0
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.config,BlobHeader,3,0,7,4,61,13,0,0,0.0,1,2
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.config,Configuration,15,10,11,9,148,26,0,0,0.18181818181818182,8,3
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.config,headerFilter,0,0,1,1,5,1,0,0,-1.0,0,0
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.config,ConstantHandlingStrategy,26,0,56,33,446,104,5,0,0.30357142857142855,6,9
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.config,BuilderConstantHandling,8,0,9,5,109,21,1,1,0.3333333333333333,0,6
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.config,ConstantsAndDefinesHandling,4,0,5,3,30,7,0,2,0.0,0,4
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.config,PseudoStructureConstantHandling,2,0,9,5,51,13,0,1,0.3333333333333333,0,6
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.config,J9BuildFlagsConstantHandling,3,0,9,5,53,13,0,1,0.5555555555555556,0,6
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.config,StackWalkConstantHandling,7,0,7,5,56,12,0,1,0.42857142857142855,0,6
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.config,MapToTypeConstantHandling,2,0,7,5,32,9,0,1,0.42857142857142855,0,5
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.config,TypeComparator,0,0,1,1,18,4,0,0,-1.0,0,2
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.constants,ConstantParser,15,0,20,15,273,53,0,0,0.25,8,6
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.constants,CommentStripResult,2,0,1,1,8,1,0,0,0.0,1,0
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.constants,BaseFileEventCommand,0,0,1,1,5,1,2,1,-1.0,0,1
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.constants,CommentFileEvent,2,0,3,3,14,3,0,2,0.0,0,1
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.constants,ConstantFileEvent,2,0,4,4,17,4,0,2,0.0,1,1
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.constants,IFileEventCommand,0,0,2,2,4,2,3,0,-1.0,2,1
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.constants,ICVisitor,0,0,3,3,9,3,0,0,-1.0,4,0
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.datamodel,ClassType,0,0,4,3,18,4,0,4,-1.0,0,1
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.datamodel,Constant,2,0,7,6,76,18,1,0,0.0,10,1
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.datamodel,ConstantsType,0,0,2,1,12,2,0,2,-1.0,0,1
openj9-openj9-0.13.0,com.ibm.j9ddr.autoblob.datamodel,Declaration,5,0,8,7,79,15,0,0,0.0,1,4
