Project Name,Package Name,Type Name,Code Smell
openj9-openj9-0.19.0,com.ibm.cds,CDSBundleEntry,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.cds,CDSHookConfigurator,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.cds,CDSHookConfigurator,Deficient Encapsulation
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob,ExtractCPPFlags,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob,GenerateBlobC,Deficient Encapsulation
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob,GenerateBlobC,Cyclic-Dependent Modularization
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob,FileTypes,Deficient Encapsulation
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob,FileTypes,Cyclic-Dependent Modularization
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob,HeaderResolver,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob,GenerateBlobCConfig,Deficient Encapsulation
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob,SortHeadersInConfig,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob,SortHeadersInConfig,Deficient Encapsulation
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob,Region,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.config,Configuration,Deficient Encapsulation
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.config,Configuration,Cyclic-Dependent Modularization
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.config,headerFilter,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.config,ConstantHandlingStrategy,Cyclic-Dependent Modularization
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.config,ConstantHandlingStrategy,Insufficient Modularization
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.config,BuilderConstantHandling,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.config,ConstantsAndDefinesHandling,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.config,PseudoStructureConstantHandling,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.config,J9BuildFlagsConstantHandling,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.config,StackWalkConstantHandling,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.config,MapToTypeConstantHandling,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.config,TypeComparator,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.constants,BaseFileEventCommand,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.constants,BaseFileEventCommand,Broken Hierarchy
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.constants,CommentFileEvent,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.constants,CommentFileEvent,Broken Hierarchy
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.constants,CommentFileEvent,Multipath Hierarchy
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.constants,ConstantFileEvent,Broken Hierarchy
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.constants,ConstantFileEvent,Multipath Hierarchy
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.datamodel,ClassType,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.datamodel,ConstantsType,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.datamodel,ConstantsType,Broken Hierarchy
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.datamodel,EnumType,Broken Hierarchy
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.datamodel,EnumType,Cyclic-Dependent Modularization
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.datamodel,EnumerationConstant,Cyclic-Dependent Modularization
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.datamodel,PseudoType,Unutilized Abstraction
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.datamodel,StructType,Broken Hierarchy
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.datamodel,Typedef,Unexploited Encapsulation
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.datamodel,Typedef,Missing Hierarchy
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.datamodel,UnionType,Broken Hierarchy
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.datamodel,UserDefinedType,Cyclic-Dependent Modularization
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.linenumbers,PreProcessedSourceParser,Deficient Encapsulation
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.linenumbers,Mapping,Deficient Encapsulation
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.linenumbers,Mapping,Broken Hierarchy
openj9-openj9-0.19.0,com.ibm.j9ddr.autoblob.linenumbers,LineNumberConvertor,Unutilized Abstraction
